stid,station_name,latitude,longitude,elevation,country,ncei91,nyear,DJF,MAM,JJA,SON
PAKN,KING SALMON (ASOS),58.68361,-156.65389,15.0,US,USW00025503,44,0.306874148077209,0.560504880323746,0.9998881406490102,0.7710550622755065
PADQ,KODIAK (ASOS),57.74997,-152.49386,34.0,US,USW00025501,44,0.6749551850857224,0.8076032347334718,1.0,0.8957378395326395
PAOT,Kotzebue / Wien,66.88572,-162.60679,1.0,US,USW00026616,43,0.04218486866582461,0.17601584725035346,0.9887607251378643,0.3846692495764263
PAKK,KOYUK,64.93949,-161.15427,40.0,US,USW00026616,3,0.21029616629283926,0.2749524111665915,1.0,0.602618663982752
PFKW,Kwethluk,60.7903,-161.4437,6.0,US,USW00026615,7,0.2343792189153777,0.6352865317558606,1.0,0.7057011266316384
PADM,MARSHALL,61.86428,-162.02611,31.0,US,USW00026615,12,0.31907054790953127,0.5448686549678966,1.0,0.7127378339434234
PAMC,MCGRATH (ASOS),62.95278,-155.60704,103.0,US,USW00026510,43,0.05407687156582905,0.410846100583631,0.9999370475291155,0.429443150328573
PAIN,MCKINLEY PARK,63.7326,-148.91064,524.0,US,USC00505778,5,0.06822151213330212,0.29381105652651174,0.9989795918367347,0.3787710259347736
PAMY,MEKORYUK,60.37,-166.27,15.0,US,USW00026617,9,0.1386306190835135,0.2529713480461138,0.9842349776881226,0.5786182971992174
PAMH,MINCHUMINA,63.886,-152.30187,214.0,US,USC00505881,15,0.016105798869491574,0.3922084702817148,1.0,0.3146435184984144
PAMO,MOUNTAIN VILLAGE,62.09528,-163.68194,102.0,US,USW00026615,10,0.22820988879941376,0.46672590945050013,0.999656002751978,0.6302288620037455
PANA,Napakiak,60.6903,-161.9785,1.0,US,USW00026615,3,0.2321237941325278,0.5742364281070819,1.0,0.6980626078517232
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,US,USW00026435,29,0.10286890157034316,0.4085441229469296,0.9994437027147307,0.3633219520054534
PAFS,NIKOLAI,63.02,-154.36,126.0,US,USW00026510,14,0.037247389257089834,0.35760524892690154,1.0,0.38997899293954885
PAWN,NOATAK,67.56611,-162.975,30.0,US,USW00026616,5,0.04878887190060661,0.1942568719302084,0.9941176470588236,0.4899894771440233
PAOM,NOME (ASOS),64.5122,-165.44525,7.0,US,USW00026617,44,0.06439466119717413,0.1934641229499938,0.9912526444273291,0.5363225849298228
PFNO,Noorvik,66.81753,-161.02225,16.8,US,USW00026616,11,0.06224705444188059,0.32676451183102034,0.9978177850518276,0.48736057979201997
PAOR,NORTHWAY (ASOS),62.96139,-141.92917,525.0,US,USW00026412,44,0.0023374840738647133,0.3301941308839493,0.9969716226561082,0.19143526370190142
PAQT,NUIQSUT (ASOS),70.20995,-151.00556,17.0,US,USW00027515,22,0.38988839463619,0.39069185056742023,0.857356446667204,0.35608232107099025
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871,71.0,US,USW00025331,40,0.2237296835353427,0.4743809127289019,1.0,0.6537975182192188
PPIZ,POINT LAY(DEW/AWOS),69.73288,-163.00534,6.0,US,USW00026642,15,0.021146179425471808,0.15246245633192268,0.875556012043405,0.28623129242727263
PAAD,Point Thomson Airstrip,70.136,-146.2901,5.0,US,USW00027406,8,0.023544403898822057,0.15321925106024417,0.7283553559575442,0.21797648629530997
PARY,RUBY,64.73,-155.47,199.0,US,USC00503212,35,0.023264517519089197,0.29437110328247656,0.9992568250758341,0.32477920271799954
PARS,RUSSIAN MISSION,61.77489,-161.3194,16.0,US,USW00026615,14,0.14414663609670103,0.44088684382684845,1.0,0.6173437116162119
PASA,SAVOONGA AIRPORT,63.68639,-170.49264,16.0,US,USW00026617,8,0.09799141480993845,0.22346758246258708,0.9904371085671377,0.5604589761566049
PACM,SCAMMON BAY,61.84454,-165.57375,4.0,US,USW00026617,11,0.17894672272462753,0.43933254094764923,0.9952996272357091,0.6446857535531233
PASK,SELAWIK,66.60014,-159.98575,8.0,US,USW00026502,6,0.021570174672467416,0.17584324154632136,0.9984459984459985,0.46315836172491526
PAWD,SEWARD (ASOS),60.12694,-149.41861,18.0,US,USW00026438,42,0.5678948388226964,0.720729459529525,1.0,0.8759563492057398
PAHX,Shageluk,62.69231,-159.5692,17.0,US,USW00026502,4,0.1361803753097173,0.5313113926180901,1.0,0.7478017314333228
PFSH,Shaktoolik,64.37108,-161.22397,7.0,US,USW00026502,8,0.1587230653876142,0.43967524411106407,0.9996246246246246,0.7124524943984915
PAGH,Shungnak,66.88808,-157.1624,60.0,US,USC00503212,9,0.027097653547158426,0.23421221521043023,0.9992860481232574,0.4225968693905573
PASL,SLEETMUTE,61.71667,-157.15,54.0,US,USW00026510,4,0.22298282606621406,0.6129283964569855,1.0,0.7225274911822474
PASX,SOLDOTNA,60.47583,-151.03417,33.0,US,USC00508615,5,0.21593708828406888,0.7908927987554618,1.0,0.8106711125312467
PASV,SPARREVOHN (AWOS),61.09721,-155.57477,484.0,US,USW00025506,20,0.07889009067565146,0.27103958647070814,0.9811562543387073,0.433610384755628
PATK,TALKEETNA (ASOS),62.32,-150.095,109.0,US,USW00026528,44,0.12464562154375113,0.5117000404562879,1.0,0.6608416753400296
PATA,TANANA/CALHOUN MEM (ASOS),65.17444,-152.10694,67.0,US,USW00026529,43,0.01892038106547286,0.3260811401373751,0.9992466001308445,0.34934345185098153
PATE,Teller,65.24038,-166.33934,90.0,US,USW00026617,10,0.11512678976860428,0.2383840666427238,0.9865891580678422,0.4966569437353062
PAOO,TOOKSOK BAY,60.54134,-165.08719,18.0,US,USW00026615,11,0.2139158624399704,0.3901423428089984,0.9956166597862326,0.7142896051088896
PAVD,VALDEZ,61.134,-146.248,37.0,US,USW00026442,19,0.2325270724736989,0.4647250574541448,1.0,0.753928458158852
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,US,USC00500490,38,0.011492599040257937,0.33284438971217867,0.9999324552516041,0.29111870578257276
PAIW,Wales,65.62258,-168.09494,6.7,US,USW00026617,11,0.08922465594633885,0.28047968537616896,0.9869219406515047,0.6192736633467
PAWS,WASILLA NEW ARPT,61.57194,-149.54056,113.0,US,USC00500302,4,0.24633427761715965,0.773139843065625,1.0,0.8736352773258359
PAWM,White Mountain,64.6892,-163.4128,81.0,US,USW00026617,11,0.14073160367226742,0.4037484576787051,0.9985405081950466,0.620597505003318
PAWR,WHITTIER,60.777,-148.722,9.0,US,USC00509829,22,0.47794254488649374,0.6902635929015076,1.0,0.8348121138379051
PAYA,Yakutat,59.51209,-139.67103,14.729266,US,USW00025339,44,0.6310045570257234,0.7974455490182804,1.0,0.9130375938933193
CYLT,ALERT,82.51778,-62.28056,31.0,CA,,22,0.0,0.00042921524109591335,0.24120690381550894,0.0013494386332904569
CYAB,Arctic Bay Airport,73.0064,-85.0473,45.0,CA,,10,0.0,0.00870317638643532,0.8412196236501809,0.09353523204537047
CYEK,ARVIAT,61.09417,-94.07083,10.0,CA,,23,0.002239340335956742,0.08122542053863928,0.9517683439691881,0.3500821068159768
CYBK,BAKER LAKE,64.29889,-96.07778,18.0,CA,,22,0.000331858407079646,0.025922428654665697,0.8986028484172451,0.12199087330582419
CYCB,CAMBRIDGE BAY,69.10806,-105.13833,27.0,CA,,23,4.5687134502923974e-05,0.01202707282595245,0.8145083607843492,0.0932205971012336
CYTE,CAPE DORSET AIRP,64.23,-76.52667,47.0,CA,,22,0.00413697414112964,0.041149489564324265,0.8968646939940115,0.2823328486387543
CYCS,CHESTERFIELD INLET,63.33333,-90.71667,11.0,CA,,22,0.0006313131313131314,0.023095481705907042,0.9324510378132982,0.17606761854004663
CYCY,CLYDE RIVER,70.48611,-68.51667,26.0,CA,,23,0.0021573709494497914,0.014551450313211506,0.7921716225359224,0.17854447040835073
CYZS,CORAL HARBOUR,64.19333,-83.35944,64.0,CA,,23,0.0004809341221079194,0.016197943271663153,0.8601503567562675,0.12079593446257392
CWEU,EUREKA,79.98333,-85.93333,10.0,CA,,23,0.0,0.00017844396859386153,0.7406592170598789,0.009067258706790498
CYHK,GJOA HAVEN,68.63556,-95.84972,46.0,CA,,23,0.0001590330788804071,0.01582934591089905,0.7885593986132201,0.13179366742125798
CWGZ,GRISE FIORD AIRPORT,76.4228,-82.9022,45.0,CA,,20,0.0,0.005174072472503953,0.6123737514113393,0.021432639138680428
CYUX,HALL BEACH,68.7761,-81.2436,8.0,CA,,23,0.0007683453316303773,0.013993994965250403,0.8354600311700052,0.1298649675970074
CYGT,IGLOOLIK AIRPORT,69.36667,-81.81667,51.0,CA,,23,0.0,0.010257029707228997,0.754704564429542,0.06744141263170865
CYFB,IQALUIT,63.75639,-68.55583,34.0,CA,,23,0.0037162811003297156,0.024632958715086722,0.9099578058925983,0.21084833337252795
CYLC,KIMMIRUT A NWT,62.85,-69.88333,53.0,CA,,19,0.004068223074109684,0.02795236125084674,0.9230755637107247,0.21800505327170336
CYBB,KUGAARUK,68.53444,-89.80806,15.0,CA,,23,0.0,0.009674764051246652,0.7935212479710736,0.060258724200284906
CYXP,PANGNIRTUNG,66.145,-65.71361,23.0,CA,,23,0.001455950332354827,0.02894146458889608,0.9105195023430284,0.19743062823810656
CYIO,POND INLET,72.68944,-77.96889,57.0,CA,,23,0.0,0.02697035671444778,0.8971891876977227,0.1141694394737624
CYVM,QIKIQTARJUAQ,67.54583,-64.03139,6.0,CA,,23,0.00015842839036755386,0.020933539450086594,0.8032343780905659,0.20602880590389736
CYRT,RANKIN INLET,62.81139,-92.11583,32.0,CA,,23,0.00017787264318747779,0.02905297247051943,0.9107335661434792,0.1833471211985832
CYUT,REPULSE BAY,66.5214,-86.2247,24.0,CA,,23,0.0001441753171856978,0.012429873457502105,0.8333851590728711,0.10434332710947958
CYRB,RESOLUTE BAY,74.71667,-94.96667,67.0,CA,,23,0.0,0.0005408237739740927,0.5103591772985299,0.01334204636618653
CYYH,TALOYOAK,69.54667,-93.57667,28.0,CA,,23,0.00017806267806267807,0.006547169455338769,0.8030461188659538,0.06683657120287155
CYKD,AKLAVIK,68.22333,-135.00583,7.0,CA,,17,0.003181084883256445,0.03656939872518347,0.9371541050085719,0.10103152880411113
CYVL,Colville Lake,67.0212,-126.1286,246.0,CA,,8,0.0007744805905255573,0.11405075970698572,0.9955031556481231,0.17698062389408972
CZFM,FORT MCPHERSON,67.4,-134.85,43.0,CA,,18,0.0008056758056758057,0.03693811679655496,0.9544084981067534,0.12939934030072134
CYFS,FORT SIMPSON,61.76028,-121.23667,169.0,CA,,19,0.0016718147943295787,0.17911660218537517,0.9938345279373458,0.20094396172210183
CYSM,FORT SMITH,60.0264,-111.92899,203.0,CA,,18,0.003985347487322775,0.2556481579426831,0.9973660893403827,0.19870958294289934
CYHY,HAY RIVER A,60.83972,-115.78278,166.0,CA,,18,0.0034314288588177914,0.1799280392348695,0.9997863247863248,0.1947749267231943
CYEV,INUVIK MIKE ZUBKO,68.30417,-133.48278,68.0,CA,,19,0.0004955161408468948,0.04707281728324233,0.9506054205355408,0.12996656266084045
CYCO,KUGLUKTUK,67.81667,-115.14389,22.0,CA,,23,0.0004354126935978654,0.02621458726185054,0.9282980175084553,0.122231760946116
CYLK,LUTSEL KE,62.41819,-110.68224,179.0,CA,,16,0.00151083338072345,0.16222180959136734,0.9891226495883683,0.1431407735267387
CYVQ,NORMAN WELLS,65.2825,-126.80028,74.0,CA,,18,0.001543089960157332,0.11089991580312913,0.9979065737629726,0.14954768101105054
CYPC,PAULATUK,69.36667,-124.06667,6.0,CA,,19,0.00026986805286269744,0.023827695254486653,0.8918345281459888,0.11881115826166441
CYRA,RAE LAKES,64.11611,-117.30972,213.0,CA,,17,0.0,0.11345125560258035,0.9951609529639832,0.15942460904235947
CYSY,SACHS HARBOUR,72.0,-125.26667,86.0,CA,,18,0.0,0.008236611082254859,0.6123178988076461,0.06955317046385574
CYUB,TUKTOYAKTUK,69.43333,-133.02639,5.0,CA,,19,0.0006461688989072234,0.01907741544163105,0.927666558981629,0.1252007652294975
CYWE,Wekweeti,64.1908,-114.0768,415.0,CA,,10,0.0012410594136284948,0.1213580406133036,0.9874713311391237,0.19619852083520115
CYZF,YELLOWKNIFE,62.46278,-114.44028,206.0,CA,,19,0.0007547043038271863,0.1334459306513808,0.9984960087082729,0.1541761946941166
CYDB,BURWASH,61.37111,-139.04056,801.0,CA,,19,0.006815033100429105,0.3073642931650226,0.9886467773139193,0.21070056345744773
CYDA,DAWSON CITY,64.04306,-139.12778,369.0,CA,,18,0.009312852296342386,0.346432718079511,0.9995932268959514,0.29655991624109157
CZFA,FARO,62.2075,-133.37583,717.0,CA,,16,0.003351668697765824,0.2665014722556761,1.0,0.2564373094231158
CYMA,MAYO,63.61667,-135.86667,504.0,CA,,19,0.005328757047584677,0.35288825132777857,1.0,0.24028596982322228
CYOC,OLD CROW,67.57056,-139.83917,251.0,CA,,18,0.0009205528045173944,0.06875074904641103,0.9527177264839577,0.12564315503842163
CYZW,TESLIN,60.17278,-132.74278,705.0,CA,,17,0.01689303337264764,0.3652240794403206,0.9994632313472893,0.40329272812564
CYQH,WATSON LAKE,60.11639,-128.8225,690.0,CA,,19,0.0073820370839158935,0.28708388245444977,0.9984479983123312,0.32517556615430243
CYXY,WHITEHORSE INTL,60.70944,-135.06889,703.0,CA,,18,0.006948859982318578,0.2477546194381251,0.9998770894788594,0.2656535001411019
CYPH,INUKJUAK ARPT,58.47194,-78.07694,3.0,CA,,19,0.008452732365119627,0.08565575704336395,0.8720149811509619,0.3952935470701497
CYVP,KUUJJUAQ A,58.09611,-68.42694,60.0,CA,,19,0.006084103357681909,0.08460397350973327,0.9458889418624715,0.3211281211830259
CYPX,PUVIRNITUQ,60.05056,-77.28694,23.0,CA,,19,0.003664003093770211,0.0641250346639172,0.890614854178091,0.338990270204427
CYYR,GOOSE BAY,53.31917,-60.42583,49.0,CA,,19,0.03452603746085097,0.29372832879515026,0.9928966011958109,0.5733190354850374
CYDP,NAIN AIRPORT,56.5492,-61.6803,7.0,CA,,18,0.034450715333623504,0.1572984723053071,0.9710785292884188,0.49391998540339616
EFET,Enontekio,68.36259,23.42432,306.0,FI,,6,0.0139576260152297,0.38552611642987866,0.9966118816036146,0.372229292659845
EFHA,Halli,61.85605,24.7866,145.0,FI,,12,0.22390509954877438,0.5836125278307464,0.9997874149659864,0.752655361669826
EFHK,Helsinki,60.31722,24.96333,56.0,FI,,14,0.2744216740947968,0.6497136436529307,0.9997762863534676,0.8319056108597753
EFIV,Ivalo,68.60727,27.40533,148.0,FI,,14,0.0529301354727789,0.44418518273275404,0.9961842882526979,0.5193968901718156
EFJY,Jyvaskyla,62.40445,25.67522,145.0,FI,,14,0.15928419239066716,0.5707767894479336,1.0,0.7395882169052643
EFKI,Kajaani,64.28147,27.67527,136.0,FI,,13,0.15234081425291388,0.5456380393286094,0.9995039682539683,0.6951781505351138
EFKE,Kemi,65.7787,24.5821,15.0,FI,,14,0.14408657119828752,0.5427941175431437,0.9996996996996997,0.6906049949388843
EFKT,Kittila,67.70102,24.84685,643.0,FI,,11,0.04420593818793921,0.4185144730675375,0.9990767041458285,0.4769774346789299
EFKK,Kruunupyy,63.72117,23.14313,25.0,FI,,14,0.24111560186534037,0.631403521222317,1.0,0.8095503780112995
EFKU,Kuopio,63.00805,27.79916,102.0,FI,,14,0.14325685421465928,0.5597500742060176,1.0,0.7261870724318568
EFKS,Kuusamo,65.96667,29.18333,263.0,FI,,12,0.0844722299509075,0.3872246501576975,0.994701597901322,0.5390585355273988
EFLP,Lappeenranta,61.04455,28.1444,106.0,FI,,10,0.3129343772371401,0.6801469124892161,0.9995189995189995,0.8319148580826135
EFMA,Mariehamn,60.1222,19.89816,6.0,FI,,14,0.46341821666585503,0.7559139651685297,1.0,0.9214640521223036
EFMI,Mikkeli,61.73333,27.3,138.0,FI,,11,0.2444959348828711,0.6869788023880273,0.9997611084567606,0.8006000609589786
EFOU,Oulu,64.93006,25.35456,15.0,FI,,14,0.15582794454723645,0.5741266717296872,0.9997395833333333,0.7464419733219166
EFPO,Pori,61.46169,21.79998,17.0,FI,,14,0.3076939369163364,0.7269576389152266,1.0,0.8733002940827662
EFRO,Rovaniemi,66.55838,25.83211,201.0,FI,,14,0.06574452232870626,0.38575815025469296,0.9957638351899348,0.5559531618407159
EFSA,Savonlinna,61.94306,28.94514,95.0,FI,,12,0.26193227904846494,0.6190282558391302,1.0,0.782979895372919
EFSI,Seinäjoki / Ilmajoki,62.69212,22.83233,91.0,FI,,13,0.26219207011069934,0.6636745304279118,0.9995327539482292,0.8177141378333588
EFTP,Tampere,61.42,23.58,112.0,FI,,14,0.20045002081889773,0.6095567502126751,1.0,0.7380880787967956
EFTU,Turku,60.51414,22.26281,59.0,FI,,14,0.339083549643067,0.7284907864977389,1.0,0.8164157759813454
EFUT,Utti,60.89639,26.93835,100.0,FI,,12,0.24159893067408078,0.6447592304046232,1.0,0.811242163099281
EFVA,Vaasa,63.05065,21.76217,4.0,FI,,14,0.27426991609962653,0.6128338362338855,1.0,0.8436328371216517
BGAA,Aasiaat,68.72185,-52.78475,41.0,GL,,3,0.024882828785035754,0.10980947003514963,0.9805309734513274,0.23681757427147215
BGPT,FREDICKSHAB/PAAMIUT AIRPORT,61.98,-49.67,2.0,GL,,2,0.26620250922912664,0.4886863674812862,0.9963833281201127,0.5518992802632701
BGGH,Godthaab,64.19315,-51.6766,70.0,GL,,12,0.050371986543670644,0.2212829947089691,0.8235610760708254,0.42106284589663406
BGJN,Ilulissat,69.24028,-51.06611,25.0,GL,,12,0.029394833549830794,0.08420599043063526,0.9215120931769417,0.3302900078608382
BGKK,KULUSUK LUFTHAVN,65.57361,-37.12361,34.0,GL,,12,0.16283574597216954,0.3675272868852767,0.9949685691863414,0.6336518381697864
BGMQ,Maniitsoq,65.41246,-52.93942,15.0,GL,,3,0.10808137709545548,0.25185801048560835,0.9690831312467746,0.7186580717079394
BGBW,Narssarssuaq,61.16052,-45.42598,26.0,GL,,12,0.12229350405944847,0.3528765702765729,0.9984400680879357,0.6903058642100838
BGCO,Neerlerit Inaat,70.75,-22.65,10.0,GL,,2,0.005291005291005291,0.008798952984999497,0.9898734177215189,0.15265414984516107
BGQQ,Qaanaaq,77.46667,-69.21667,19.0,GL,,2,0.0,0.14794932357914858,0.9021079804926728,0.145225614696684
BGSS,Sisimiut,66.95129,-53.72932,50.0,GL,,3,0.056894663505861844,0.14320268156135657,0.9688624128692258,0.3874435014207077
BGSF,Sondrestrom,67.01667,-50.71667,53.0,GL,,12,0.03945141741884627,0.10979574033680314,0.9712706632211592,0.3093029405333394
BGTL,Thule,76.53333,-68.75,77.0,GL,,11,0.040437638088284586,0.1874065275338199,0.851233402861707,0.3971961633524239
BGUK,Upernavik,72.79019,-56.13059,127.0,GL,,3,0.0035895391201494356,0.03214103800989201,0.8806944685056273,0.1923877300546487
BGUQ,Uummannaq,70.7342,-52.6962,2.0,GL,,2,0.001904761904761905,0.03332871396895787,1.0,0.17874238844174953
BIAR,Akureyri,65.68558,-18.10023,27.0,IS,,12,0.23686654845206506,0.3332143062270115,0.9912632847532242,0.6756448558063609
BIEG,Egilsstadir,65.283,-14.4025,38.0,IS,,12,0.41128203932291335,0.56295596692872,0.9936875717985164,0.8418865933166004
BIKF,Keflavik,63.97468,-22.58758,54.0,IS,,12,0.6550810935432708,0.8002403012579243,1.0,0.8889247242108839
BIRK,Reykjavik,64.12845,-21.9407,61.0,IS,,12,0.6139637757493286,0.8057804704219469,0.9998370008149959,0.9414825146012485
ENAL,Alesund,62.56167,6.115,22.0,NO,,12,0.7244417265243807,0.8677042797207486,1.0,0.9861260643763251
ENAT,Alta,69.9775,23.35806,3.0,NO,,12,0.08745523085631446,0.36898837816450925,0.9994047619047619,0.5907065989166167
ENAN,Andoya,69.2925,16.14417,14.0,NO,,12,0.4808486472378546,0.6655397233668836,1.0,0.90986932588213
ENDU,Bardufoss,69.05889,18.54,79.0,NO,,12,0.24229147607366855,0.49487418756463963,0.9987256649098115,0.7026169247677705
ENBS,Batsfjord,70.6005,29.6914,10.0,NO,,11,0.03861532069040183,0.23586654945342458,0.9894751604988851,0.5513502461976059
ENBR,Bergen,60.28917,5.22639,50.0,NO,,12,0.7194230608962529,0.9295237445808955,1.0,0.9932664305565951
ENBV,Berlevag,70.87139,29.03417,13.0,NO,,12,0.12337682663540825,0.32258610893733103,0.9945628723824212,0.6582817749704153
ENBO,Bodo,67.26667,14.36667,13.0,NO,,12,0.5134223624149916,0.7191259612257742,1.0,0.8770349309333911
ENBN,Bronnoysund,65.46111,12.2175,9.0,NO,,12,0.6089616701011036,0.8513672756696102,1.0,0.9723033377310971
ENFL,Floro,61.58361,5.02472,9.0,NO,,12,0.7939116648558108,0.9400072560343508,1.0,0.9946575762026146
ENHF,Hammerfest,70.68056,23.67694,81.0,NO,,12,0.20291007209430645,0.4208116187860041,0.9954639844732723,0.6778915404816067
ENEV,Harstad/Narvik,68.51667,16.68333,26.0,NO,,12,0.36376024823967124,0.6021499705123243,0.9975035487736985,0.8521312130243974
ENHK,Hasvik,70.4867,22.1397,10.0,NO,,11,0.3217553200889602,0.41058906933040057,0.9982905982905983,0.7425205743885291
ENKR,Kirkenes,69.72528,29.8975,91.0,NO,,12,0.043493463284751024,0.2851702962487097,0.995800484641616,0.5283888206263558
ENKB,Kristiansund,63.11178,7.82452,62.0,NO,,12,0.7080039184019906,0.8053228030084283,1.0,0.9747619391644797
ENNA,Lakselv,70.06881,24.97349,8.0,NO,,12,0.08723379152019332,0.40306245794863893,0.9989231873653984,0.5963089503071564
ENMH,Mehamn,71.02972,27.82667,13.0,NO,,12,0.1594770224506387,0.37294633254286286,0.9958751291360154,0.7247868336742468
ENML,Molde,62.74472,7.2625,3.0,NO,,12,0.7396053043553399,0.8224817868673938,1.0,0.9849222880621874
ENOL,Orland,63.69891,9.604,7.0,NO,,12,0.6433101702645622,0.8197866096839135,1.0,0.9730956158083642
ENRO,Roros,62.57841,11.34235,626.0,NO,,12,0.072543613991904,0.3562971949090574,0.9837700355081748,0.5104270585668432
ENSR,Sorkjosen,69.78684,20.95944,6.0,NO,,9,0.22040935294465835,0.36664378418343124,0.998591686091686,0.6688407487598415
ENSK,Stokmarknes,68.58083,15.02611,3.0,NO,,12,0.435960880404549,0.6383023982029312,0.9994441356309061,0.8890288337378877
ENSB,Svalbard,78.24611,15.46556,29.0,NO,,12,0.10278798803352114,0.14658514955682722,0.9556521019471182,0.3302687310191206
ENTC,Tromso,69.67667,18.91306,10.0,NO,,12,0.29980165182374446,0.5112938033130826,0.9985501066098081,0.7541036833552666
ENVA,Trondheim,63.45917,10.935,17.0,NO,,12,0.5220805750261845,0.7357625153345981,0.9997448979591838,0.9449772754824953
ENSS,Vardø,70.35539,31.04489,12.0,NO,,10,0.086965380380354,0.3108640334333986,1.0,0.6363398555834318
UHMA,Anadyr,64.78333,177.56667,62.0,RU,,11,0.009678816055821491,0.08406160556717364,0.9922642411612296,0.4095150363294689
ULAA,Arkhangelsk,64.50417,40.72778,19.0,RU,,10,0.07188990866790977,0.5192633760552273,0.9991500212494687,0.6156298303133291
